videoID,url,timestamp,caption,matching_score,desirable_filtering,shot_boundary_detection
--FsPMKkt9c,https://www.youtube.com/watch?v=--FsPMKkt9c,"[['0:00:00.500', '0:00:04.504'], ['0:00:50.083', '0:00:52.152'], ['0:01:13.740', '0:01:15.775']]","['A green background with a line of text that reads,.', 'The water is flowing over a dam, creating large waves and spray. the dam is made of concrete, and there are several pillars on top of it.', 'A logging machine is cutting down trees in a forest.']","[0.48095703125, 0.484619140625, 0.477783203125]","['1_still_foreground_image', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.970']], [['0:00:00.000', '0:00:02.035']], [['0:00:00.000', '0:00:02.002']]]"
--FvRYH4PkI,https://www.youtube.com/watch?v=--FvRYH4PkI,"[['0:04:28.234', '0:04:52.125'], ['0:09:37.109', '0:09:55.828'], ['0:10:08.574', '0:10:12.612']]","['A woman is holding a christmas ornament with a deer on it and talking to the camera.', 'A woman is holding up a gold-rimmed plate and smiling at the camera.', 'A woman is holding up a piece of fabric with a tag on it.']","[0.469970703125, 0.47314453125, 0.47412109375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:23.890']], [['0:00:00.000', '0:00:18.685']], [['0:00:00.000', '0:00:04.004']]]"
--FvsBTEPuw,https://www.youtube.com/watch?v=--FvsBTEPuw,"[['0:00:30.488', '0:00:34.701'], ['0:00:35.744', '0:00:40.123'], ['0:00:45.211', '0:00:53.803']]","['An old man with glasses and a hammer in front of a wall of pictures and tools.', 'An old man is sitting in a workshop with tools and wood on the walls.', 'An older man with glasses sits at a wooden chair in a workshop with tools on the wall.']","[0.450439453125, 0.463134765625, 0.4814453125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.170']], [['0:00:00.000', '0:00:04.337']], [['0:00:00.000', '0:00:08.591']]]"
--GQwHzkySs,https://www.youtube.com/watch?v=--GQwHzkySs,"[['0:00:28.880', '0:00:31.440'], ['0:01:21.880', '0:01:30.000'], ['0:01:49.160', '0:01:51.200']]","['The speaker is standing at a podium, wearing a suit and tie, and speaking into a microphone.', 'The speaker is standing at a podium, wearing a suit and tie, and speaking into a microphone.', 'There is a crowd of people on motorcycles and cars on a city street at night.']","[0.4619140625, 0.472900390625, 0.4794921875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.520']], [['0:00:00.000', '0:00:08.080']], [['0:00:00.000', '0:00:02.000']]]"
--GZjSA5hmo,https://www.youtube.com/watch?v=--GZjSA5hmo,"[['0:01:15.208', '0:01:19.179'], ['0:01:34.527', '0:01:39.899'], ['0:04:11.117', '0:04:16.022']]","['A dog laying on the floor next to a bag of raw meat.', 'A husky dog is standing on a tiled floor in a living room, looking directly at the camera.', 'A dog is walking towards a bowl of food on the floor and then eating from it.']","[0.487548828125, 0.448486328125, 0.443115234375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.937']], [['0:00:00.000', '0:00:03.336'], ['0:00:03.370', '0:00:05.338']], [['0:00:00.000', '0:00:04.904']]]"
--G_J0IS1b0,https://www.youtube.com/watch?v=--G_J0IS1b0,"[['0:04:00.708', '0:04:06.833'], ['0:05:59.791', '0:06:08.541'], ['0:09:29.416', '0:09:34.833']]","['A woman with a ring on her finger is holding something.', 'A woman is cleaning a glass cabinet in a modern kitchen.', 'The website for a company that provides eco-friendly cleaning products and services.']","[0.4423828125, 0.4501953125, 0.435546875]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:06.083']], [['0:00:00.000', '0:00:03.125'], ['0:00:03.166', '0:00:08.708']], [['0:00:00.000', '0:00:05.416']]]"
--H2N2NFNgU,https://www.youtube.com/watch?v=--H2N2NFNgU,"[['0:00:22.520', '0:00:33.680'], ['0:01:05.640', '0:01:15.320'], ['0:02:27.280', '0:02:39.320']]","['An asian woman on a news program.', 'A group of people are being transported on a truck.', 'A woman is talking on the news.']","[0.447021484375, 0.450927734375, 0.464599609375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:11.120']], [['0:00:00.000', '0:00:08.120'], ['0:00:08.160', '0:00:09.640']], [['0:00:00.000', '0:00:12.000']]]"
--HScfP78QE,https://www.youtube.com/watch?v=--HScfP78QE,"[['0:00:18.000', '0:00:24.600'], ['0:00:25.760', '0:00:28.640'], ['0:00:33.720', '0:00:37.240']]","['A woman in a pink shirt and orange visor hitting a tennis ball.', 'A couple of women playing tennis on a clay court.', 'A woman is talking to the camera in front of a green wall. she is wearing a blue shirt and has blonde hair.']","[0.435302734375, 0.439453125, 0.4482421875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:05.400'], ['0:00:05.440', '0:00:06.560']], [['0:00:00.000', '0:00:02.840']], [['0:00:00.000', '0:00:03.480']]]"
--HlgR_aqdU,https://www.youtube.com/watch?v=--HlgR_aqdU,"[['0:00:00.366', '0:00:03.500'], ['0:01:53.500', '0:02:41.500'], ['0:19:36.566', '0:19:41.833']]","['There is a black background with orange letters and numbers on it.', 'A man is painting a black floor in a room.', 'An abstract image of red and orange dots on a white surface.']","[0.473876953125, 0.4365234375, 0.451904296875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.133']], [['0:00:00.000', '0:00:47.966']], [['0:00:00.000', '0:00:05.266']]]"
--ISmWGsn5Q,https://www.youtube.com/watch?v=--ISmWGsn5Q,"[['0:00:45.880', '0:00:50.240'], ['0:01:03.280', '0:01:08.880'], ['0:01:27.240', '0:01:35.240']]","['A man speaking into a microphone in front of a group of children.', 'A young asian woman walking down the street.', 'A little boy with an orange backpack standing next to an asian girl.']","[0.44921875, 0.449951171875, 0.442138671875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.320']], [['0:00:00.000', '0:00:05.560']], [['0:00:00.000', '0:00:07.880'], ['0:00:07.920', '0:00:07.960']]]"
--J3hvvnxms,https://www.youtube.com/watch?v=--J3hvvnxms,"[['0:00:01.067', '0:00:09.809'], ['0:00:11.878', '0:00:19.919'], ['0:01:03.163', '0:01:05.865']]","['A newscast with an asian woman and man in front of an airplane.', 'There is a large group of people in suits and ties standing in front of an airplane.', 'A close up of a control panel on an airplane.']","[0.466064453125, 0.447509765625, 0.45263671875]","['3_screen_in_screen', 'desirable', '2_tiny_camera_movement']","[[['0:00:00.000', '0:00:08.708']], [['0:00:00.000', '0:00:08.008']], [['0:00:00.000', '0:00:02.669']]]"
